endTime,artistName,trackName,msPlayed,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2020-06-02 17:19,Charlie Puth,Change (feat. James Taylor),217564,17RMnDmv5CEo3s0tmipRyb,0.502,0.413,4,-7.373,1,0.039,0.872,0,0.213,0.474,175.507,217560,4
2020-06-02 17:22,Charlie Puth,Somebody Told Me,216053,1PuQTv1Kr1gzLgVeATSuh6,0.592,0.839,1,-4.944,0,0.0564,0.101,0,0.0528,0.457,168.501,216053,4
2020-06-02 17:24,Charlie Puth,Empty Cups,92632,7k7JKDjCd9zuL0iF7iWaNs,0.77,0.555,4,-6.361,1,0.0754,0.224,1.78e-06,0.0754,0.776,100.035,170947,4
2020-06-07 06:26,Charlie Puth,Change (feat. James Taylor),64,17RMnDmv5CEo3s0tmipRyb,0.502,0.413,4,-7.373,1,0.039,0.872,0,0.213,0.474,175.507,217560,4
2020-06-07 06:30,Charlie Puth,Change (feat. James Taylor),217560,17RMnDmv5CEo3s0tmipRyb,0.502,0.413,4,-7.373,1,0.039,0.872,0,0.213,0.474,175.507,217560,4
2020-06-07 06:34,Charlie Puth,Change (feat. James Taylor),217560,17RMnDmv5CEo3s0tmipRyb,0.502,0.413,4,-7.373,1,0.039,0.872,0,0.213,0.474,175.507,217560,4
2020-06-07 06:38,Charlie Puth,Change (feat. James Taylor),217560,17RMnDmv5CEo3s0tmipRyb,0.502,0.413,4,-7.373,1,0.039,0.872,0,0.213,0.474,175.507,217560,4
2020-06-07 06:42,Charlie Puth,Change (feat. James Taylor),217560,17RMnDmv5CEo3s0tmipRyb,0.502,0.413,4,-7.373,1,0.039,0.872,0,0.213,0.474,175.507,217560,4
2020-06-07 06:49,Charlie Puth,Change (feat. James Taylor),360820,17RMnDmv5CEo3s0tmipRyb,0.502,0.413,4,-7.373,1,0.039,0.872,0,0.213,0.474,175.507,217560,4
2020-06-07 07:00,Charlie Puth,Change (feat. James Taylor),380548,17RMnDmv5CEo3s0tmipRyb,0.502,0.413,4,-7.373,1,0.039,0.872,0,0.213,0.474,175.507,217560,4
2020-06-07 07:04,Charlie Puth,Change (feat. James Taylor),217560,17RMnDmv5CEo3s0tmipRyb,0.502,0.413,4,-7.373,1,0.039,0.872,0,0.213,0.474,175.507,217560,4
2020-06-07 07:06,Charlie Puth,Change (feat. James Taylor),171128,17RMnDmv5CEo3s0tmipRyb,0.502,0.413,4,-7.373,1,0.039,0.872,0,0.213,0.474,175.507,217560,4
2020-06-07 09:35,Charlie Puth,Change (feat. James Taylor),601750,17RMnDmv5CEo3s0tmipRyb,0.502,0.413,4,-7.373,1,0.039,0.872,0,0.213,0.474,175.507,217560,4
2020-06-07 09:39,Charlie Puth,The Way I Am - Acoustic,5793,2n8q5MZf4JlmO5RXbI1rpe,0.732,0.877,1,-3.253,1,0.131,0.0991,0,0.103,0.65,121.998,192797,4
2020-06-07 13:48,Charlie Puth,Change (feat. James Taylor),9161,17RMnDmv5CEo3s0tmipRyb,0.502,0.413,4,-7.373,1,0.039,0.872,0,0.213,0.474,175.507,217560,4
2020-06-08 03:45,Tyler Ward,How To Lose a Girl,210375,7ACW42whcdOiUxiNVu7ltx,0.7,0.454,7,-10.39,0,0.0388,0.55,0.0022,0.121,0.34,80.011,210375,3
2020-06-08 03:45,DEAN,instagram,20005,6z1kLsntE7FuzKZHZWrXYN,0.463,0.566,8,-6.195,1,0.145,0.196,0,0.284,0.219,93.921,255729,4
2020-06-08 03:46,Aeris Roves,Running Thru 3AM,80850,3cHkjS45Xiduc6DcXtXmAo,0.677,0.388,8,-6.697,1,0.0406,0.731,0,0.154,0.419,119.069,209747,4
2020-06-08 03:47,Olivia Rodrigo,"Just for a Moment - From ""High School Musical: The Musical: The Series""",50770,5Yc2A0YtK6PaXT8J1MQ0Rd,0.519,0.503,2,-6.239,1,0.0442,0.215,0,0.148,0.364,89.174,197320,4
2020-06-08 03:50,Shawn Mendes,Use Somebody - Recorded at Spotify Studios NYC,172620,5My4LtZW8JQJoKFDWodqIt,0.366,0.519,5,-6.066,1,0.0331,0.35,0,0.145,0.308,124.632,176587,4
2020-06-08 03:54,Ed Sheeran,Best Part of Me (feat. YEBBA),243266,5ug4vqGZ3eisGhY1IsziNX,0.565,0.242,2,-8.367,1,0.0318,0.762,9.3e-06,0.285,0.237,81.657,243267,4
2020-06-08 03:55,Ruel,Say,48013,5VjTlCuX8C11QDunDwvyNh,0.617,0.315,3,-7.998,1,0.0326,0.771,0,0.0809,0.447,119.822,227434,3
