endTime,artistName,trackName,msPlayed,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2020-05-17 17:06,Bob Seger,Night Moves,290969,6UBjSnyP1O5W5ndJoO9vUk,0.705,0.743,1,-6.631,1,0.042,0.432,0.0133,0.103,0.374,118.552,324423,4
2020-05-30 15:21,Jackson Browne,Doctor My Eyes,199906,3QcuZo6WLcFkqqLmDs0d95,0.48,0.626,5,-8.406,1,0.0294,0.266,5.7e-05,0.0857,0.542,75.63,199907,4
2020-05-30 15:26,Jackson Browne,Running on Empty,291893,6aqm56xP40foYBBtAWWrnY,0.541,0.711,9,-13.492,1,0.0383,0.0635,0.0201,0.719,0.588,136.58,291893,4
2020-05-30 15:31,Jackson Browne,Stay - 2018 Remaster,109376,5eMjcHVRRh1tbimTgJPoGn,0.603,0.765,7,-8.265,1,0.0275,0.0974,0.296,0.11,0.72,107.068,204464,4
2020-05-30 15:35,Jackson Browne,Somebody's Baby,262733,4SlCb8n5Jw52astU7GWPyV,0.741,0.742,2,-7.822,1,0.0269,0.146,1.64e-05,0.106,0.889,116.951,262733,4
2020-05-30 15:41,Jackson Browne,The Load-Out - 2018 Remaster,335257,75Cc2encvSkQ5OnDgAfJaV,0.516,0.319,7,-11.709,1,0.0343,0.739,0.000983,0.129,0.305,105.704,335257,4
2020-05-30 15:46,Jackson Browne,These Days,284840,2dcoDVcOc9hGPbtZFtpcw3,0.472,0.357,5,-11.333,1,0.0284,0.516,0.00363,0.114,0.28,138.212,284840,4
2020-05-30 15:47,Jackson Browne,The Pretender,93866,7Gr61S9VTm8fcYfAo4Fd9g,0.62,0.529,7,-7.976,1,0.0306,0.158,0,0.228,0.63,103.18,351000,4
2020-05-30 15:52,Paul Simon,You Can Call Me Al,280000,0qxYx4F3vm1AOnfux6dDxP,0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,280000,4
2020-05-30 15:53,Philip Bailey,Easy Lover,96011,5LYJ631w9ps5h9tdvac7yP,0.74,0.923,1,-5.082,1,0.0369,0.105,0.000163,0.0825,0.93,128.871,305867,4
2020-05-30 16:42,fun.,Carry On,278373,7gpy7sfWPNuOKmUNs3XQYE,0.388,0.694,5,-5.769,1,0.0735,0.118,0.000293,0.082,0.365,145.434,278373,5
2020-05-30 16:43,Panic! At The Disco,C'mon - Single Version,29265,53c9tTEHXWL5GkYNalbXZ3,0.38,0.489,0,-7.027,1,0.0362,0.0351,0.00243,0.081,0.337,127.097,214431,4
2020-06-05 16:00,Jackson Browne,The Load-Out - 2018 Remaster,8234,75Cc2encvSkQ5OnDgAfJaV,0.516,0.319,7,-11.709,1,0.0343,0.739,0.000983,0.129,0.305,105.704,335257,4
2020-06-05 16:05,Jackson Browne,These Days,279104,2dcoDVcOc9hGPbtZFtpcw3,0.472,0.357,5,-11.333,1,0.0284,0.516,0.00363,0.114,0.28,138.212,284840,4
2020-06-05 16:05,Jackson Browne,The Pretender,6080,7Gr61S9VTm8fcYfAo4Fd9g,0.62,0.529,7,-7.976,1,0.0306,0.158,0,0.228,0.63,103.18,351000,4
2020-06-05 16:18,Jackson Browne,Late for the Sky,86357,2WCoRl4kKbaZ6oGN6KD4HQ,0.321,0.329,0,-9.724,1,0.0293,0.613,0.000305,0.0846,0.213,165.399,341691,4
2020-06-05 16:20,Daryl Hall & John Oates,You Make My Dreams (Come True),119765,4o6BgsqLIBViaGVbx5rbRk,0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,190627,4
2020-06-05 16:20,"Earth, Wind & Fire",September,1855,2grjqo0Frpf2okIBiifQKs,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,215093,4
2020-06-05 16:24,Fleetwood Mac,Dreams - 2004 Remaster,245354,0ofHAoxe9vBkTCp2UQIavz,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,4
2020-06-08 17:46,TOTO,Africa,295893,2374M0fQpWi3dLnB54qaLX,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893,4
2020-06-08 17:50,The Outfield,Your Love,221840,5dRQUolXAVX3BbCiIxmSsf,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607,221840,4
2020-06-08 17:54,Tears For Fears,Everybody Wants To Rule The World,251488,4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,251489,4
2020-06-08 17:55,The Doobie Brothers,Listen to the Music,64264,7Ar4G7Ci11gpt6sfH9Cgz5,0.645,0.598,1,-13.18,0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929,227267,4
2020-06-08 17:55,Rupert Holmes,Escape (The Pina Colada Song),4693,5IMtdHjJ1OtkxbGe4zfUxQ,0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,276493,4
2020-06-08 18:00,Paul Simon,You Can Call Me Al,280000,0qxYx4F3vm1AOnfux6dDxP,0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,280000,4
2020-06-08 18:04,Philip Bailey,Easy Lover,247286,5LYJ631w9ps5h9tdvac7yP,0.74,0.923,1,-5.082,1,0.0369,0.105,0.000163,0.0825,0.93,128.871,305867,4
2020-06-10 17:20,Lou Reed,Walk On the Wild Side,254173,5p3JunprHCxClJjOmcLV8G,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,254173,4
2020-06-10 17:23,Allman Brothers Band,Midnight Rider,180066,1hHGUdFaiJHw9hVZGJWYO2,0.585,0.532,7,-9.673,1,0.0268,0.209,0.00797,0.227,0.68,94.461,180067,4
2020-06-10 17:27,Bruce Springsteen,Born to Run,216301,6hTcuIQa0sxrrByu9wTD7s,0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,269920,4
2020-06-10 17:32,Steve Miller Band,Fly Like An Eagle,282693,3e0FzZjTXOUtiJGSClOBrI,0.561,0.754,9,-12.769,0,0.112,0.61,0.0194,0.328,0.642,100.08,282693,4
