endTime,artistName,trackName,msPlayed,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2020-05-30 16:30,Daniel Caesar,Who Hurt You?,1557,23c9gmiiv7RCu7twft0Mym,0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,231964,4
2020-05-30 16:30,Daniel Caesar,Who Hurt You?,0,23c9gmiiv7RCu7twft0Mym,0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,231964,4
2020-05-30 16:32,Daniel Caesar,Who Hurt You?,93205,23c9gmiiv7RCu7twft0Mym,0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,231964,4
2020-05-30 16:33,Brandon King,Time,73557,5oOYeUTdqqpw0E096QeS4D,0.666,0.388,9,-18.478,0,0.0361,0.94,0.886,0.115,0.415,147.937,220541,4
2020-05-30 16:35,Joe Kay,Biibiba,111040,4tszlWzG58ckHUQMWkbJU0,0.776,0.962,6,-3.579,0,0.225,0.508,0,0.118,0.38,126.072,171429,4
2020-05-30 16:37,Lone,Pulsar,123477,2sgPuP6ZKso5wwIR055k3k,0.409,0.872,7,-7.637,1,0.0875,0.000167,0.878,0.0319,0.351,125.966,460222,4
2020-05-30 16:40,Conya Doss,Let's Put in the Time,11841,2ZVAr45GpGNzIEdVHBVhBW,0.498,0.613,5,-7.417,1,0.0578,0.403,0,0.291,0.623,89.932,152713,4
2020-05-30 16:40,Rina Sawayama,Cherry - Ryan Hemsworth Remix,167700,3uffIrkKOOHFN6RKD6p5dH,0.725,0.836,0,-5.792,0,0.046,0.0501,1.57e-05,0.121,0.676,123.065,167701,4
2020-05-30 16:41,Rina Sawayama,Cherry - Ryan Hemsworth Remix,105301,3uffIrkKOOHFN6RKD6p5dH,0.725,0.836,0,-5.792,0,0.046,0.0501,1.57e-05,0.121,0.676,123.065,167701,4
2020-05-30 16:45,Rina Sawayama,Cherry - Ryan Hemsworth Remix,36565,3uffIrkKOOHFN6RKD6p5dH,0.725,0.836,0,-5.792,0,0.046,0.0501,1.57e-05,0.121,0.676,123.065,167701,4
2020-05-30 16:47,Rina Sawayama,Cherry - Ryan Hemsworth Remix,106944,3uffIrkKOOHFN6RKD6p5dH,0.725,0.836,0,-5.792,0,0.046,0.0501,1.57e-05,0.121,0.676,123.065,167701,4
2020-05-30 16:50,Conya Doss,Let's Put in the Time,152712,2ZVAr45GpGNzIEdVHBVhBW,0.498,0.613,5,-7.417,1,0.0578,0.403,0,0.291,0.623,89.932,152713,4
2020-05-30 16:52,T-Pain,Let's Go out (Boogaloo),150498,1uqKk6VAexXptfrqvkYnnw,0.681,0.497,0,-11.582,0,0.0771,0.191,0.0147,0.0928,0.233,119.764,226000,4
2020-05-30 16:56,Pleasure P,She Likes,258000,1fsARAG3aX3F3wiPgASp4D,0.487,0.665,10,-6.187,1,0.129,0.324,0,0.127,0.249,119.858,258000,4
2020-05-30 16:56,Lane 8,Clarify - Tinlicker Remix,5467,3ZGFCKDg4mMPOinnjJPO5h,0.691,0.777,6,-8.735,1,0.0503,0.0963,0.669,0.0659,0.137,123.992,499476,4
2020-05-30 18:05,Pleasure P,She Likes,12725,1fsARAG3aX3F3wiPgASp4D,0.487,0.665,10,-6.187,1,0.129,0.324,0,0.127,0.249,119.858,258000,4
2020-05-30 18:05,Daniel Caesar,Who Hurt You?,104489,23c9gmiiv7RCu7twft0Mym,0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,231964,4
2020-05-30 18:05,Daniel Caesar,Who Hurt You?,5152,23c9gmiiv7RCu7twft0Mym,0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,231964,4
2020-05-30 18:08,Pleasure P,She Likes,158517,1fsARAG3aX3F3wiPgASp4D,0.487,0.665,10,-6.187,1,0.129,0.324,0,0.127,0.249,119.858,258000,4
2020-05-30 18:15,Lane 8,Clarify - Tinlicker Remix,420640,3ZGFCKDg4mMPOinnjJPO5h,0.691,0.777,6,-8.735,1,0.0503,0.0963,0.669,0.0659,0.137,123.992,499476,4
2020-05-30 18:20,Kelela,GAIKA_FRONTLINE_141 BPM,339252,4SLhouzGgJeEMePmOg4bpr,0.641,0.737,0,-8.356,1,0.0503,0.0779,4.25e-05,0.0833,0.642,141.486,339253,4
2020-05-30 18:21,Barney Artist,"Good to Be Home (feat. Tom Misch, Loyle Carner & Rebel Kleff)",18334,2Sh3g3NaqkD23mZ6Ugfrsq,0.892,0.685,10,-4.906,0,0.072,0.301,0.000744,0.0775,0.61,95.958,263090,4
2020-05-30 18:21,Kelela,GAIKA_FRONTLINE_141 BPM,9826,4SLhouzGgJeEMePmOg4bpr,0.641,0.737,0,-8.356,1,0.0503,0.0779,4.25e-05,0.0833,0.642,141.486,339253,4
2020-05-30 18:25,Barney Artist,"Good to Be Home (feat. Tom Misch, Loyle Carner & Rebel Kleff)",263089,2Sh3g3NaqkD23mZ6Ugfrsq,0.892,0.685,10,-4.906,0,0.072,0.301,0.000744,0.0775,0.61,95.958,263090,4
2020-05-30 18:29,DJ Quik,Rosecrans (The Game & Candace Boyd),240000,0U3kVV6ZHXj1iU0w7TKhmh,0.414,0.838,10,-3.263,0,0.423,0.545,0,0.104,0.622,146.882,246000,4
2020-05-30 18:33,Trey Songz,How Dat Sound (feat. 2 Chainz & Yo Gotti),212914,54ZG8SPqphWy23Og6nH7PY,0.766,0.621,5,-3.843,0,0.248,0.145,0,0.156,0.651,144.919,238950,4
2020-05-30 18:33,DJ Quik,Rosecrans (The Game & Candace Boyd),12682,0U3kVV6ZHXj1iU0w7TKhmh,0.414,0.838,10,-3.263,0,0.423,0.545,0,0.104,0.622,146.882,246000,4
2020-05-30 18:40,Session Victim,Matching Half,413680,7JxGQwH5QAT9YVy57JM978,0.708,0.734,7,-12.299,0,0.0625,0.172,0.938,0.106,0.8,122.044,413680,4
2020-05-30 18:42,Session Victim,Matching Half,2805,7JxGQwH5QAT9YVy57JM978,0.708,0.734,7,-12.299,0,0.0625,0.172,0.938,0.106,0.8,122.044,413680,4
2020-05-30 18:42,Lucas Chambon,Floating,162689,5UNA196W7tYhPhs5sDgNav,0.694,0.835,0,-5.862,0,0.0488,0.0347,0.115,0.0915,0.206,123.037,226341,4
2020-05-30 18:43,Lucas Chambon,Floating,31285,5UNA196W7tYhPhs5sDgNav,0.694,0.835,0,-5.862,0,0.0488,0.0347,0.115,0.0915,0.206,123.037,226341,4
2020-05-30 18:48,Session Victim,Matching Half,317440,7JxGQwH5QAT9YVy57JM978,0.708,0.734,7,-12.299,0,0.0625,0.172,0.938,0.106,0.8,122.044,413680,4
2020-05-30 18:52,Luke Fono,Real Joy,21565,4RQB5AyYjrnQ5BXiWZxwEd,0.755,0.512,6,-8.617,1,0.0335,0.00268,0.171,0.0935,0.174,118.008,289320,4
2020-05-30 18:52,Lucas Chambon,Culture,227796,0ODYJXNo3yPxVlJCFy4xcd,0.76,0.821,8,-6.373,0,0.0629,0.00336,0.458,0.135,0.365,117.977,227797,4
2020-05-30 18:54,Lucas Chambon,Culture,123744,0ODYJXNo3yPxVlJCFy4xcd,0.76,0.821,8,-6.373,0,0.0629,0.00336,0.458,0.135,0.365,117.977,227797,4
2020-05-30 20:18,Luke Fono,Real Joy,10913,4RQB5AyYjrnQ5BXiWZxwEd,0.755,0.512,6,-8.617,1,0.0335,0.00268,0.171,0.0935,0.174,118.008,289320,4
2020-05-30 20:22,Luke Fono,Real Joy,240760,4RQB5AyYjrnQ5BXiWZxwEd,0.755,0.512,6,-8.617,1,0.0335,0.00268,0.171,0.0935,0.174,118.008,289320,4
2020-05-30 20:23,Luke Fono,Feet On The Ground,86788,4p678a9MKhEHFbNoFZj47C,0.463,0.749,7,-7.644,1,0.0517,0.00428,0.00137,0.43,0.0845,114.707,284870,4
2020-05-30 20:25,Duke Dumont,The Giver (Reprise) - Fono Remix,107135,0WdD23hrQqq9o2dKqhzNiG,0.74,0.381,11,-9.477,0,0.118,0.000456,0.00402,0.076,0.313,120.043,325480,4
2020-05-30 20:26,Maribou State,Turnmills - Edit,96213,3HzSuE22PGsbPstPLv44M7,0.629,0.686,5,-8.826,0,0.035,0.366,0.878,0.232,0.535,115.02,201182,4
2020-05-30 20:29,Ferreck Dawn,Love Too Deep - Radio Edit,162771,25wbzwqwOAGWN5EoqV992S,0.747,0.878,9,-5.209,0,0.0357,0.0794,0.000531,0.37,0.897,122.03,162772,4
2020-05-30 20:32,Big Wild,Joypunks,195491,2Ob2E0owyR8gdF0YGf0fZp,0.694,0.669,7,-5.748,1,0.0328,0.0382,0.021,0.0975,0.338,121.987,195492,4
2020-05-30 20:36,Twelve'len,Human Gods,216000,46Gw3PyTJLGA2SE8Kx0gHI,0.745,0.637,1,-9.346,1,0.235,0.364,2.96e-06,0.122,0.137,119.986,216000,4
2020-05-30 20:39,Kintaro,Mk,192000,6IkXBlVMPicKuoVCdZRGAh,0.813,0.7,0,-5.812,1,0.0865,0.0211,0,0.283,0.717,119.999,192000,4
2020-05-30 20:44,Mr Jukes,When Your Light Goes Out,283017,456Icnp064xMCQhm9Ax2us,0.415,0.567,5,-7.831,0,0.0293,0.109,0.00913,0.133,0.364,89.033,283017,4
2020-05-30 20:47,Illa J,I Know,202324,1hdAFsmGKDseUEc5hagHnH,0.412,0.735,1,-9.238,1,0.307,0.488,0,0.247,0.605,172.104,202325,4
2020-05-30 20:52,Social Lovers,Drop Me A Line,284482,1MhOWHOOgbcD0Ef9KBdOzH,0.809,0.438,6,-10.979,0,0.0584,0.00172,0.775,0.364,0.51,116.021,284483,4
2020-05-30 20:55,Motez,The Future (feat. Antony & Cleopatra) - Purple Disco Machine Remix,198699,3YEAuaWv79plFq2J1YroS1,0.751,0.806,7,-6.475,0,0.287,0.151,0.000194,0.391,0.771,118.976,503116,4
2020-05-30 20:55,Big Wild,Joypunks,640,2Ob2E0owyR8gdF0YGf0fZp,0.694,0.669,7,-5.748,1,0.0328,0.0382,0.021,0.0975,0.338,121.987,195492,4
2020-05-30 20:56,Ferreck Dawn,Love Too Deep - Radio Edit,76245,25wbzwqwOAGWN5EoqV992S,0.747,0.878,9,-5.209,0,0.0357,0.0794,0.000531,0.37,0.897,122.03,162772,4
2020-05-30 20:59,Big Wild,Joypunks,195491,2Ob2E0owyR8gdF0YGf0fZp,0.694,0.669,7,-5.748,1,0.0328,0.0382,0.021,0.0975,0.338,121.987,195492,4
2020-05-30 21:03,Twelve'len,Human Gods,204047,46Gw3PyTJLGA2SE8Kx0gHI,0.745,0.637,1,-9.346,1,0.235,0.364,2.96e-06,0.122,0.137,119.986,216000,4
2020-05-30 21:06,Kintaro,Mk,192000,6IkXBlVMPicKuoVCdZRGAh,0.813,0.7,0,-5.812,1,0.0865,0.0211,0,0.283,0.717,119.999,192000,4
2020-05-30 21:10,Mr Jukes,When Your Light Goes Out,283017,456Icnp064xMCQhm9Ax2us,0.415,0.567,5,-7.831,0,0.0293,0.109,0.00913,0.133,0.364,89.033,283017,4
2020-05-30 21:14,Illa J,I Know,202324,1hdAFsmGKDseUEc5hagHnH,0.412,0.735,1,-9.238,1,0.307,0.488,0,0.247,0.605,172.104,202325,4
2020-05-30 21:15,Social Lovers,Drop Me A Line,47908,1MhOWHOOgbcD0Ef9KBdOzH,0.809,0.438,6,-10.979,0,0.0584,0.00172,0.775,0.364,0.51,116.021,284483,4
2020-06-01 19:45,Kintaro,Mk,14071,6IkXBlVMPicKuoVCdZRGAh,0.813,0.7,0,-5.812,1,0.0865,0.0211,0,0.283,0.717,119.999,192000,4
2020-06-01 19:48,Kintaro,Mk,148384,6IkXBlVMPicKuoVCdZRGAh,0.813,0.7,0,-5.812,1,0.0865,0.0211,0,0.283,0.717,119.999,192000,4
2020-06-01 19:51,Mr Jukes,When Your Light Goes Out,197343,456Icnp064xMCQhm9Ax2us,0.415,0.567,5,-7.831,0,0.0293,0.109,0.00913,0.133,0.364,89.033,283017,4
2020-06-01 19:53,Karizma,Keep Movin’,132191,4c7NmtBWfucpuuXGJF9kiR,0.776,0.337,1,-11.735,1,0.154,0.341,0.000421,0.157,0.73,95.969,228400,4
2020-06-01 19:55,The Goods,Make Your Move,88128,5jgaGPLVvVnNmPCrNEPbcE,0.831,0.655,11,-11.88,0,0.318,0.27,0.0292,0.131,0.821,117.007,251987,4
2020-06-01 19:57,Solo Woods,Powers,108917,3c4XqeZ8iBRzotxY03KUCO,0.407,0.268,8,-11.004,0,0.0325,0.835,0,0.116,0.0673,118.703,262250,4
2020-06-01 19:59,Pool Cosby,A Poem Is a Hustle (feat. Raekwon),144725,5yTLDuAMS1cHuzSoyneo6X,0.41,0.467,11,-10.456,1,0.0702,0.779,9.12e-06,0.114,0.0576,146.45,233628,4
2020-06-01 20:02,Mtbrd,Runaway,164552,5DbjBx6vF4qXtnbW10H07f,0.556,0.749,2,-7.506,0,0.361,0.214,0.00138,0.125,0.791,175.907,164552,4
2020-06-01 20:05,Brain Tan,Comfort Object,181685,5iaOhLc05pVFVYuCq15Ueq,0.397,0.625,7,-9.378,1,0.0482,0.00451,0.3,0.73,0.671,103.019,246904,4
2020-06-01 20:05,Mtbrd,Runaway,3082,5DbjBx6vF4qXtnbW10H07f,0.556,0.749,2,-7.506,0,0.361,0.214,0.00138,0.125,0.791,175.907,164552,4
2020-06-01 20:08,p-rallel,Cherry Wine,177371,4RCCA7Bkm0gsrexOjjosYG,0.487,0.441,7,-12.821,0,0.142,0.225,0.296,0.137,0.197,84.234,177371,4
2020-06-01 20:11,Wallace,Neverland,176353,4YOa75mVSW319afsj6W6wg,0.676,0.555,5,-7.584,0,0.118,0.158,2.57e-05,0.616,0.718,82.449,239120,4
2020-06-01 20:15,Wallace,Neverland,239120,4YOa75mVSW319afsj6W6wg,0.676,0.555,5,-7.584,0,0.118,0.158,2.57e-05,0.616,0.718,82.449,239120,4
2020-06-01 20:18,KeithCharles,Number One,202500,5a3qYDF7eEJHqSnsOGx6KI,0.849,0.373,0,-7.644,1,0.0991,0.266,0.000953,0.102,0.484,127.946,202500,4
2020-06-01 20:23,Get To Know,Complicated,293500,47w11QEAirqz5ViDsEAF8h,0.648,0.637,11,-7.477,0,0.126,0.221,2.12e-05,0.145,0.101,109.993,205198,4
2020-06-01 20:26,Leikeli47,Who's That,202118,2Rpv29G00pLvpydk8mlXID,0.844,0.529,11,-9.455,0,0.36,0.0439,0,0.0787,0.658,113.88,202118,4
2020-06-01 20:29,biLLLy,Locked In,180618,5d5XiqXd1Ylz9Ti4qUuDCQ,0.688,0.569,9,-6.599,0,0.15,0.018,0,0.173,0.62,97.071,180619,4
2020-06-01 20:34,Laura Misch,Jelly,317740,3jbiFvk1HvMDEMKORqlc5x,0.678,0.329,7,-11.818,0,0.0393,0.0439,0.11,0.326,0.385,89.972,317741,4
2020-06-01 20:36,Sean Leon,90 BPM,149330,3xemiX7DrdKgKwiXkxT9sj,0.783,0.432,8,-13.632,0,0.0868,0.0533,0.338,0.105,0.721,90.005,149331,4
2020-06-01 22:29,p-rallel,Cherry Wine,96065,4RCCA7Bkm0gsrexOjjosYG,0.487,0.441,7,-12.821,0,0.142,0.225,0.296,0.137,0.197,84.234,177371,4
2020-06-01 22:33,Wallace,Neverland,239120,4YOa75mVSW319afsj6W6wg,0.676,0.555,5,-7.584,0,0.118,0.158,2.57e-05,0.616,0.718,82.449,239120,4
2020-06-01 22:36,KeithCharles,Number One,202500,5a3qYDF7eEJHqSnsOGx6KI,0.849,0.373,0,-7.644,1,0.0991,0.266,0.000953,0.102,0.484,127.946,202500,4
2020-06-01 22:39,Get To Know,Complicated,207301,47w11QEAirqz5ViDsEAF8h,0.648,0.637,11,-7.477,0,0.126,0.221,2.12e-05,0.145,0.101,109.993,205198,4
2020-06-01 22:43,Wallace,Neverland,82986,4YOa75mVSW319afsj6W6wg,0.676,0.555,5,-7.584,0,0.118,0.158,2.57e-05,0.616,0.718,82.449,239120,4
2020-06-01 22:47,Wallace,Neverland,239120,4YOa75mVSW319afsj6W6wg,0.676,0.555,5,-7.584,0,0.118,0.158,2.57e-05,0.616,0.718,82.449,239120,4
2020-06-01 22:49,KeithCharles,Number One,138028,5a3qYDF7eEJHqSnsOGx6KI,0.849,0.373,0,-7.644,1,0.0991,0.266,0.000953,0.102,0.484,127.946,202500,4
2020-06-01 22:53,Leikeli47,Who's That,202118,2Rpv29G00pLvpydk8mlXID,0.844,0.529,11,-9.455,0,0.36,0.0439,0,0.0787,0.658,113.88,202118,4
2020-06-01 22:56,biLLLy,Locked In,180618,5d5XiqXd1Ylz9Ti4qUuDCQ,0.688,0.569,9,-6.599,0,0.15,0.018,0,0.173,0.62,97.071,180619,4
2020-06-01 23:00,Laura Misch,Jelly,239262,3jbiFvk1HvMDEMKORqlc5x,0.678,0.329,7,-11.818,0,0.0393,0.0439,0.11,0.326,0.385,89.972,317741,4
