endTime,artistName,trackName,msPlayed,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2020-05-12 17:29,Dillon Francis,Coming Over (feat. James Hersey),10783,6m3ZWIXhjoV76syT1j2oE9,0.631,0.661,5,-5.5,0,0.0999,0.227,1.43e-06,0.166,0.698,174.031,178333,4
2020-05-24 15:18,Kenny Loggins,This Is It,7210,0YO8KsprTrEUEvJevpI7Na,0.641,0.497,7,-12.228,0,0.029,0.254,2.15e-06,0.158,0.743,102.274,236733,4
2020-05-30 01:22,Paul Simon,You Can Call Me Al,280000,0qxYx4F3vm1AOnfux6dDxP,0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,280000,4
2020-05-30 01:25,Paul Simon,Me and Julio Down by the Schoolyard,164813,6vxHp3CDNo0afgKGp2yi1E,0.626,0.816,9,-10.593,1,0.131,0.237,1.8e-06,0.104,0.798,105.307,164813,4
2020-05-30 01:28,Paul Simon,Kodachrome,215400,3f0U5NaD1bCk8nmKpn2ZJY,0.592,0.705,1,-10.276,0,0.0287,0.0291,1.97e-05,0.0456,0.902,135.754,215400,4
2020-05-30 01:31,Simon & Garfunkel,The Sound of Silence - Acoustic Version,185413,5y788ya4NvwhBznoDIcXwK,0.525,0.216,6,-13.551,1,0.0301,0.837,0,0.107,0.328,106.761,185413,4
2020-05-30 01:36,Paul Simon,Slip Slidin' Away,285053,0zb2kpEQMnqJPiLACKMiFM,0.641,0.409,8,-12.452,1,0.0348,0.743,2.58e-06,0.118,0.315,121.165,285053,4
2020-05-30 01:41,Paul Simon,Graceland,291200,51KKQAgYFoJHgVIuJWHdHb,0.732,0.705,9,-9.271,1,0.0349,0.626,0.00068,0.0813,0.848,117.925,291200,4
2020-05-30 01:45,Paul Simon,50 Ways to Leave Your Lover,217347,6Qb7gtV6Q4MnUjSbkFcopl,0.815,0.372,7,-12.814,1,0.0752,0.166,0.000116,0.0767,0.293,101.684,217347,4
2020-05-30 02:00,Paul Simon,Diamonds on the Soles of Her Shoes,191774,71GvlH0VdeClloLIkHrAVu,0.791,0.677,5,-9.724,1,0.0356,0.776,0.00121,0.224,0.876,110.64,349280,4
2020-06-01 19:25,THE SCOTTS,THE SCOTTS,165978,39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,165978,4
2020-06-03 20:27,TOKiMONSTA,Love That Never,54845,7dqyP8Zvv23kyRygun9V57,0.599,0.845,8,-5.26,1,0.21,0.275,0.371,0.292,0.509,84.986,214588,4
2020-06-03 20:30,Remi Wolf,Shawty,197727,3tCCH9aaiKRmwOjvIKq76d,0.711,0.719,5,-5.016,0,0.173,0.0402,0.000755,0.0775,0.712,175.903,197727,4
2020-06-03 20:41,Remi Wolf,Shawty,1509,3tCCH9aaiKRmwOjvIKq76d,0.711,0.719,5,-5.016,0,0.173,0.0402,0.000755,0.0775,0.712,175.903,197727,4
2020-06-03 20:41,Diplo,On My Mind - Purple Disco Machine Remix,1091,0gyO07e0f66Qaib1x3m5I7,0.73,0.69,0,-6.396,1,0.0329,0.101,0.0734,0.183,0.749,123.01,263415,4
2020-06-03 20:41,Diplo,On My Mind - Purple Disco Machine Remix,186039,0gyO07e0f66Qaib1x3m5I7,0.73,0.69,0,-6.396,1,0.0329,0.101,0.0734,0.183,0.749,123.01,263415,4
2020-06-03 20:44,Bearson,Get Lost - Ford. Remix,176000,0VETcdLJtf6qpkj7aKPBJ9,0.62,0.51,1,-8.091,1,0.151,0.637,0.179,0.0786,0.239,90.064,176000,4
2020-06-03 20:46,TÂCHES,Sofia's Theme,84051,16qgL8moRXVRZA5K0yU4yZ,0.814,0.664,4,-13.927,0,0.0494,0.0177,0.873,0.0907,0.155,119.003,326723,4
2020-06-03 20:48,Derek Simpson,Open Water,138414,75y40hOGOuIdZlrtQDWeMh,0.697,0.348,6,-9.904,1,0.0765,0.628,0.0434,0.206,0.337,167.893,193360,4
2020-06-06 20:25,Remi Wolf,Shawty,197727,3tCCH9aaiKRmwOjvIKq76d,0.711,0.719,5,-5.016,0,0.173,0.0402,0.000755,0.0775,0.712,175.903,197727,4
2020-06-06 20:29,Men I Trust,Dazed (feat. Gabrielle & Geoffroy),232000,7BaZ7WlAdhOaGjIUYWsUWy,0.837,0.331,6,-11.14,0,0.0731,0.121,0.0601,0.126,0.85,120.009,232000,4
