endTime,artistName,trackName,msPlayed,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2020-05-28 22:33,Perma,Two of a Crime,4720,5Z1OUJVlpin42WtmWTVT3h,0.619,0.398,3,-8.602,1,0.0284,0.732,0,0.323,0.393,81.502,212307,4
2020-05-29 06:34,The Front Bottoms,12 Feet Deep,61812,2KxYE53CepWELruuAqkLKW,0.328,0.932,9,-5.612,1,0.0924,0.00961,0,0.36,0.534,101.354,225253,4
2020-05-30 02:41,The Front Bottoms,12 Feet Deep,163434,2KxYE53CepWELruuAqkLKW,0.328,0.932,9,-5.612,1,0.0924,0.00961,0,0.36,0.534,101.354,225253,4
2020-05-30 02:45,The Front Bottoms,Cough It Out,260240,3K4y191l94wf2t43qafbdV,0.256,0.925,5,-5.064,1,0.0694,8.48e-05,7.15e-06,0.336,0.574,203.087,260240,4
2020-05-30 02:49,The Front Bottoms,Everyone But You,210053,2sVUc3mmHmI575Unlj3S1q,0.653,0.809,3,-4.758,1,0.0307,0.00038,2.54e-06,0.239,0.635,121.982,210053,4
2020-05-30 02:52,The Front Bottoms,Skeleton,215107,26psdwxUIBUsovvNma4FDp,0.419,0.931,0,-5.147,1,0.068,0.00858,0,0.0991,0.697,147.537,215107,4
2020-05-30 02:57,The Front Bottoms,The Boredom Is The Reason I Started Swimming. It's Also The Reason I Started Sinking,258800,4azcg4HmKGxHXDEkNP0zuI,0.705,0.821,9,-5.362,1,0.0354,0.0173,1.03e-06,0.0831,0.744,135.02,258800,4
2020-05-30 03:00,The Front Bottoms,Swear To God The Devil Made Me Do It,211983,28c58R4iB9YJrpoT5Xi1Py,0.41,0.931,9,-5.323,1,0.0445,0.0209,1.52e-05,0.0823,0.68,143.052,211983,4
2020-05-30 03:04,The Front Bottoms,Santa Monica,247563,7e4gXi1UiI2CgYK0hpNS3W,0.392,0.936,2,-5.393,1,0.0582,0.0971,1.69e-06,0.172,0.721,154.867,247563,4
2020-05-30 03:08,The Front Bottoms,Vacation Town,225440,7kTIsaswz1ord7QA9HDE4U,0.564,0.839,7,-4.708,1,0.0433,0.00537,6.55e-05,0.11,0.749,146.068,225440,4
2020-05-30 03:11,The Front Bottoms,Jim Bogart,197973,4S06cKPrmrijnHvUPebzLU,0.274,0.49,5,-6.546,1,0.0301,0.142,0,0.158,0.582,80.07,197973,4
2020-05-30 03:14,The Front Bottoms,Lipstick Covered Magnet,154426,3fRgq05pZB2g2TN2e9Agdx,0.463,0.745,0,-5.544,1,0.0437,0.00154,0,0.367,0.789,141.943,154427,4
2020-05-30 03:17,The Front Bottoms,Flying Model Rockets,193840,2Qq1X6MmsOo1PYmmeIk8YD,0.598,0.677,0,-6.551,1,0.0403,0.0534,0,0.0693,0.674,145.073,193840,4
2020-05-30 03:21,The Front Bottoms,Tie Dye Dragon,236592,0Ctlu1naQGok60GsnTOnBO,0.545,0.671,5,-7.076,1,0.0291,0.00823,0.0932,0.092,0.318,116.011,236593,4
2020-05-30 03:26,The Front Bottoms,Flashlight,297346,3GYoZKtVh1XxuAk8YD23m7,0.429,0.865,9,-3.751,1,0.0625,0.00129,0,0.105,0.681,151.043,297347,4
2020-05-30 03:30,The Front Bottoms,Jim Bogart,197973,4S06cKPrmrijnHvUPebzLU,0.274,0.49,5,-6.546,1,0.0301,0.142,0,0.158,0.582,80.07,197973,4
2020-05-30 03:32,The Front Bottoms,Lipstick Covered Magnet,154426,3fRgq05pZB2g2TN2e9Agdx,0.463,0.745,0,-5.544,1,0.0437,0.00154,0,0.367,0.789,141.943,154427,4
2020-05-30 03:36,The Front Bottoms,Plastic Flowers,248040,7kjz1p6l55Z6rvwomqugT1,0.536,0.939,5,-3.287,1,0.0853,0.000286,0.0707,0.185,0.489,142.937,248040,4
2020-05-30 03:39,The Front Bottoms,Peace Sign,192280,7BTfCCOitwPLJLlgPMpz1g,0.403,0.79,7,-5.119,1,0.031,0.00161,0,0.223,0.43,162.015,192280,4
2020-05-30 03:43,The Front Bottoms,Wolfman,201852,660FRyUpdmCzOec1VGIxi3,0.447,0.941,2,-5.392,0,0.0792,0.000363,0.000129,0.152,0.584,156.018,201853,4
2020-05-30 03:45,The Front Bottoms,Au Revoir (Adios),108486,2oyo7vNiPazHVHpArSkzU7,0.437,0.717,9,-7.122,1,0.0321,0.0367,0,0.0418,0.492,140.494,108487,4
2020-05-30 03:48,The Front Bottoms,Tighten Up,209573,4PPO2Wk40IHWmwImT8h3xn,0.374,0.72,7,-5.148,1,0.0337,0.0012,6.9e-05,0.232,0.52,137.446,209573,4
2020-05-30 03:53,The Front Bottoms,End of summer (now I know),261502,5X3WzIcUcyT243if4gmXo8,0.567,0.654,7,-7.965,1,0.034,0.0374,0.00132,0.273,0.31,120.024,261502,4
2020-05-30 03:57,The Front Bottoms,2YL,251240,2g7K7UFi5tVl8itvpFxYKH,0.401,0.918,4,-4.349,1,0.044,7.87e-05,1.31e-05,0.129,0.789,144.349,251240,4
2020-05-30 04:00,The Front Bottoms,The Beers,212253,69reBM5F1IAIcFGoGUBb1u,0.52,0.769,4,-4.367,1,0.0552,0.155,0,0.185,0.623,139.383,212253,4
2020-05-30 04:04,The Front Bottoms,West Virginia,253720,0MFyzUpWGNRstJPnnr4ICG,0.226,0.888,7,-4.181,1,0.123,0.000192,4.3e-05,0.0719,0.315,80.352,253720,4
2020-05-30 04:08,The Front Bottoms,The Feud,194820,1yUNQV82aOIb3dwtEUwxrx,0.259,0.971,11,-4.804,1,0.0989,0.00713,0,0.393,0.717,121.581,194821,4
2020-05-30 04:12,The Front Bottoms,Legit Tattoo Gun,258093,6SzsrvsFHnm4S4IgervB3W,0.595,0.774,4,-5.004,0,0.032,0.00297,3.54e-05,0.177,0.331,133.981,258093,4
2020-05-30 04:16,The Front Bottoms,Mountain,214800,5JjGCUEWrThNlqykoIBJQU,0.689,0.744,7,-5.603,1,0.0413,0.00683,0.00274,0.0711,0.517,139.906,214800,4
2020-05-30 04:19,The Front Bottoms,HELP,225640,4G7l8ksBL0Xq20SvJhRU2R,0.553,0.858,7,-4.124,1,0.0279,1.42e-05,0.000119,0.113,0.748,134.031,225640,4
2020-05-30 04:23,The Front Bottoms,Lone Star,230050,6BFVrGUZUO1EXxKIdGrlYB,0.395,0.921,4,-6.041,1,0.0622,0.0647,3.47e-05,0.307,0.811,148.513,230051,4
2020-05-30 04:26,The Front Bottoms,Don't Fill Up On Chips,183986,4bAfcaNPjsqAUU0Edu6R6U,0.532,0.833,0,-4.688,1,0.0407,0.105,0,0.115,0.546,110.151,183987,4
2020-05-30 04:30,The Front Bottoms,Backflip,225330,5xIhn7CgiL48qopn06zea3,0.418,0.902,11,-5.836,1,0.0775,0.0172,0,0.141,0.79,151.575,225330,4
2020-05-30 04:34,The Front Bottoms,Maps,214626,2S3w8SaEHpE753segduh0o,0.641,0.833,0,-4.327,1,0.0326,0.00561,0,0.159,0.559,138.141,214627,4
2020-05-30 04:37,The Front Bottoms,Raining,183253,4YyOPaXcxCmpv3c7SQUo5e,0.346,0.897,4,-5.044,1,0.0678,0.122,8.24e-05,0.358,0.661,101.744,183253,4
