endTime,artistName,trackName,msPlayed,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2019-12-22 21:15,Nat King Cole,Joy To The World,9456,1VuAamHM7P3VQQEXYGG3Uu,0.553,0.337,10,-10.334,1,0.03,0.818,0,0.113,0.662,101.918,84987,4
2020-05-30 21:55,Kygo,Like It Is,175185,3frUvGrmGcay91lvFbOgsN,0.794,0.728,1,-6.759,1,0.114,0.121,8.82e-06,0.227,0.36,105.024,183067,4
2020-06-01 01:43,Billy Porter,What You Need,223943,3sRM8O9xaKlGGoh2KwxwZ1,0.357,0.117,5,-15.48,1,0.0442,0.948,8.46e-06,0.101,0.192,172.874,223973,3
2020-06-01 03:03,Jessica Molaskey,When You're Home,21325,7vzb8EOWJeyFgFNqU1AEUy,0.461,0.203,8,-10.291,1,0.0424,0.931,0,0.0745,0.579,89.385,170293,4
2020-06-08 21:40,Miranda Lambert,Mama's Broken Heart,4672,2mXsZsJBThTaJXbNcg5QD4,0.768,0.809,4,-4.204,0,0.0616,0.278,0,0.139,0.748,111.989,177773,4
2020-06-08 21:40,Miranda Lambert,Bluebird,2048,0kPeZAyIhIfeZNrtfjJGDB,0.661,0.633,7,-5.986,1,0.0348,0.038,2.75e-06,0.124,0.613,81.984,209760,4
2020-06-08 21:41,Miranda Lambert,Automatic,12949,0B0y2FImat9j9MJTNRZWfW,0.591,0.703,10,-6.211,1,0.0256,0.0435,2.34e-06,0.145,0.402,95.993,247827,4
2020-06-08 21:41,Miranda Lambert,Tomboy,8298,3hiqYWTDUf7AFsadMde5cA,0.378,0.551,2,-7.77,1,0.0317,0.0518,0.000338,0.0973,0.445,200.23,241120,4
2020-06-14 19:21,"Crosby, Stills & Nash",Suite: Judy Blue Eyes - 2005 Remaster,434026,2PuUFT13yCzUOZun94WOXv,0.451,0.364,9,-13.126,1,0.0436,0.469,0,0.197,0.298,154.206,444053,4
2020-06-14 19:22,David Campbell,Sweet Dreams,896,0SqlnPeCUfn96lc7s35oHP,0.503,0.167,10,-12.528,1,0.037,0.962,3.29e-05,0.148,0.178,79.436,241610,4
2020-06-14 19:22,Nina Simone,Here Comes the Sun,16000,1x9ahz0ALGHgbN9wwDjmre,0.415,0.37,1,-12.805,1,0.0378,0.721,1.64e-05,0.0736,0.648,116.85,214093,4
2020-06-14 19:22,Kendrick Lamar,DNA.,10880,6HZILIRieu8S0iqY8kIKhj,0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,185947,4
2020-06-14 19:23,James Brown,Say It Loud - I'm Black And I'm Proud,41301,5h8ve1B7Gr3k4W0WXAgLxE,0.85,0.66,3,-6.323,1,0.193,0.386,0.00235,0.0449,0.926,115.076,167187,4
2020-06-14 19:28,Meat Loaf,I'd Do Anything For Love (But I Won't Do That) - Single Edit,316466,391CwgcBxvUHmEKda2b5In,0.419,0.672,2,-6.353,1,0.092,0.623,0,0.412,0.304,105.212,316467,4
2020-06-14 19:37,Meat Loaf,Paradise By the Dashboard Light,508333,2g7gviEeJr6pyxO7G35EWQ,0.326,0.872,2,-7.602,1,0.122,0.214,0,0.461,0.492,173.381,508333,4
2020-06-14 19:38,Meat Loaf,Two Out of Three Ain't Bad,47928,2ph0hzV1kCVhR82E2La4q5,0.586,0.48,9,-9.138,1,0.0243,0.385,0,0.0947,0.488,79.873,324440,4
