endTime,artistName,trackName,msPlayed,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2020-05-21 03:13,Ambient Realms,Ghostly Cave Motion,278841,4UHW0L5CICY8bq3zuEzin2,0.191,0.212,1,-27.409,1,0.0742,0.929,0.93,0.0953,0.0385,86.362,430868,1
2020-06-02 01:40,Midlake,Roscoe - Beyond the Wizard's Sleeve Remix,39622,6pj2yQlRvxYKLMxMTJaUUT,0.512,0.691,8,-6.794,0,0.0384,0.164,0.000241,0.11,0.518,121.807,413640,4
2020-06-02 01:46,Childish Gambino,This Is America,3360,0b9oOr2ZgvyQu88wzixux9,0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120.024,225773,4
2020-06-02 01:46,Swans,Screen Shot,327600,23cFxNXbwYcb6gfSOzL55H,0.441,0.638,2,-10.33,1,0.0618,0.138,0.777,0.697,0.439,142.419,484532,3
2020-06-02 01:46,Unknown Mortal Orchestra,Everyone Acts Crazy Nowadays,10410,6VPvz8SZWRFEoawyUTvQTt,0.816,0.755,8,-4.942,1,0.0828,0.473,2.66e-06,0.178,0.735,120.008,254973,4
2020-06-02 01:50,Childish Gambino,This Is America,225773,0b9oOr2ZgvyQu88wzixux9,0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120.024,225773,4
2020-06-02 01:52,Paula Temple,Cages,103446,4SOF1OSeBhoOQyc3X2db71,0.659,0.926,8,-6.561,1,0.0531,2.1e-05,0.874,0.18,0.0318,134.988,400153,4
2020-06-02 01:56,Junior Murvin,Police & Thieves,244109,2XsW8N3mMRD5blv4KGNHq6,0.932,0.359,11,-12.958,0,0.0944,0.0597,0,0.136,0.906,127.153,244110,4
2020-06-02 01:59,The Beatles,Here Comes The Sun - 2019 Mix,185706,3CPFHaVEHkkH26hAEPgMMp,0.569,0.557,9,-10.208,1,0.0428,0.038,0.000228,0.136,0.292,129.101,185707,4
2020-06-02 02:00,Pink Floyd,Money,48423,0vFOzaXqZHahrZp6enQwQb,0.469,0.537,9,-10.421,1,0.152,0.0241,0.00201,0.269,0.783,124.193,382834,1
2020-06-02 05:13,Flying Lotus,Heroes,5730,4d9B8XK0EZ4KVlFg6ULY8l,0.234,0.721,7,-7.932,0,0.226,0.134,0.734,0.0887,0.0908,180.101,164061,4
2020-06-02 05:13,Flying Lotus,Fire Is Coming,13720,185ZAmEXHzplBXOWqNtwAa,0.691,0.689,1,-8.441,1,0.208,0.0113,0.00143,0.217,0.171,143.039,196216,4
2020-06-02 05:13,Flying Lotus,FF4,25080,4yHLejQxBnufgbFPALQkK3,0.607,0.184,6,-7.69,1,0.102,0.442,0.937,0.117,0.475,81.245,71520,4
2020-06-02 05:14,Flying Lotus,Heroes,12120,4d9B8XK0EZ4KVlFg6ULY8l,0.234,0.721,7,-7.932,0,0.226,0.134,0.734,0.0887,0.0908,180.101,164061,4
2020-06-02 05:14,Flying Lotus,Spontaneous,18710,5h3uwxELUVyVpMuLXjdKKV,0.645,0.791,5,-8.051,0,0.0384,0.0693,0.935,0.23,0.039,114.477,128647,4
