endTime,artistName,trackName,msPlayed,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2020-06-01 23:49,Tycho,Send And Receive,936,30EmaEb0hkd9M0iu7GoTBn,0.558,0.491,9,-14.688,0,0.0382,0.942,0.871,0.385,0.287,160.052,293133,4
2020-06-01 23:53,Kubbi,Pathfinder,273358,3s4QJmPBzx0qLyf6Dl9wcH,0.337,0.38,4,-10.456,0,0.0314,0.133,0.922,0.129,0.0397,96.983,322151,4
2020-06-01 23:58,Kubbi,Ember,290186,2yLMuUJ8xXBOzdbRE5ZkJW,0.516,0.856,8,-7.536,1,0.0321,0.00445,0.932,0.11,0.0807,99.957,290711,4
2020-06-02 00:02,Kubbi,Firelight,267934,6xleXFxSuweHPU2auLWTOZ,0.571,0.855,11,-7.793,0,0.0401,0.00265,0.671,0.0953,0.504,174.994,267987,4
2020-06-02 00:07,Kubbi,Cascade,259695,3RDq3O5pEsYjtwEOpjBuZI,0.478,0.774,8,-6.888,1,0.0326,0.000185,0.548,0.122,0.18,129.153,259889,4
2020-06-02 00:12,Kubbi,Compass,310935,0qNjZp5uhw1JGLIT7nKSc3,0.61,0.809,5,-7.039,0,0.0346,0.0038,0.899,0.105,0.434,130.028,311021,4
2020-06-02 00:16,Kubbi,Overworld,262179,4dKxo8X2iefiUGBBXjEnwY,0.674,0.784,11,-7.637,1,0.038,0.000529,0.793,0.0747,0.797,119.995,262176,4
2020-06-02 00:23,Kubbi,The Cairn,370187,3ygjwzn98to5szKWJTVNlV,0.598,0.787,4,-7.639,0,0.0304,0.00107,0.905,0.101,0.187,120.021,370373,4
2020-06-02 00:27,Kubbi,Restoration,283613,2KDA2WvhpGgGuT77qZKIpn,0.237,0.591,7,-8.98,1,0.03,0.0382,0.855,0.106,0.0843,173.838,283843,4
2020-06-02 00:35,Kubbi,Formed By Glaciers,458849,6c5FuVyNJkAobBsZa5L22X,0.446,0.275,4,-16.641,0,0.0356,0.299,0.875,0.145,0.0362,114.076,458934,3
2020-06-02 00:40,Kubbi,Pathfinder,322175,3s4QJmPBzx0qLyf6Dl9wcH,0.337,0.38,4,-10.456,0,0.0314,0.133,0.922,0.129,0.0397,96.983,322151,4
2020-06-02 00:45,Kubbi,Ember,290185,2yLMuUJ8xXBOzdbRE5ZkJW,0.516,0.856,8,-7.536,1,0.0321,0.00445,0.932,0.11,0.0807,99.957,290711,4
2020-06-04 21:19,Kubbi,Firelight,29945,6xleXFxSuweHPU2auLWTOZ,0.571,0.855,11,-7.793,0,0.0401,0.00265,0.671,0.0953,0.504,174.994,267987,4
2020-06-04 21:30,Kubbi,Firelight,237990,6xleXFxSuweHPU2auLWTOZ,0.571,0.855,11,-7.793,0,0.0401,0.00265,0.671,0.0953,0.504,174.994,267987,4
2020-06-04 21:35,Kubbi,Cascade,259681,3RDq3O5pEsYjtwEOpjBuZI,0.478,0.774,8,-6.888,1,0.0326,0.000185,0.548,0.122,0.18,129.153,259889,4
2020-06-04 21:40,Kubbi,Compass,310943,0qNjZp5uhw1JGLIT7nKSc3,0.61,0.809,5,-7.039,0,0.0346,0.0038,0.899,0.105,0.434,130.028,311021,4
2020-06-04 21:44,Kubbi,Overworld,262186,4dKxo8X2iefiUGBBXjEnwY,0.674,0.784,11,-7.637,1,0.038,0.000529,0.793,0.0747,0.797,119.995,262176,4
2020-06-04 21:50,Kubbi,The Cairn,370181,3ygjwzn98to5szKWJTVNlV,0.598,0.787,4,-7.639,0,0.0304,0.00107,0.905,0.101,0.187,120.021,370373,4
2020-06-04 21:55,Kubbi,Restoration,283689,2KDA2WvhpGgGuT77qZKIpn,0.237,0.591,7,-8.98,1,0.03,0.0382,0.855,0.106,0.0843,173.838,283843,4
2020-06-04 22:03,Kubbi,Formed By Glaciers,458941,6c5FuVyNJkAobBsZa5L22X,0.446,0.275,4,-16.641,0,0.0356,0.299,0.875,0.145,0.0362,114.076,458934,3
2020-06-04 22:08,Kubbi,Pathfinder,322175,3s4QJmPBzx0qLyf6Dl9wcH,0.337,0.38,4,-10.456,0,0.0314,0.133,0.922,0.129,0.0397,96.983,322151,4
2020-06-04 22:13,Kubbi,Ember,290186,2yLMuUJ8xXBOzdbRE5ZkJW,0.516,0.856,8,-7.536,1,0.0321,0.00445,0.932,0.11,0.0807,99.957,290711,4
2020-06-05 16:25,Kubbi,Firelight,252751,6xleXFxSuweHPU2auLWTOZ,0.571,0.855,11,-7.793,0,0.0401,0.00265,0.671,0.0953,0.504,174.994,267987,4
2020-06-05 16:30,Tycho,Awake,283500,2qC1sUo8xxRRqYsaYEdDuZ,0.552,0.878,1,-5.767,1,0.0353,0.0585,0.892,0.0746,0.598,176.057,283636,4
2020-06-05 16:36,Tycho,Montana,325943,1JR1tkmUrBb1xYA7PlnZLn,0.541,0.936,6,-5.467,0,0.0435,0.0384,0.958,0.217,0.518,134.983,326108,4
2020-06-05 16:41,Tycho,Dye,316940,7n2TOW1CPU12MKS8j8zEfi,0.547,0.758,9,-8.169,1,0.0308,0.341,0.931,0.235,0.308,156.035,317155,4
2020-06-05 16:46,Tycho,See,318427,5ntMi72LCYmpGFiEbsrE48,0.658,0.816,0,-6.595,1,0.035,0.0173,0.892,0.144,0.572,126.991,318490,4
2020-06-05 16:51,Tycho,Apogee,260181,3RpWjYMS78Q2v2OmPO7A1x,0.479,0.792,10,-6.605,0,0.04,0.0498,0.825,0.345,0.586,176.003,260446,4
2020-06-05 16:54,Tycho,Spectre,226932,1vdN00jfVssgwJBMwmSAoT,0.651,0.72,5,-7.278,0,0.0396,0.497,0.903,0.114,0.39,128.017,226912,4
2020-06-05 16:58,Tycho,Plains,197190,36aMbIY8d92lK7P92LJlbZ,0.384,0.333,5,-13.304,0,0.0314,0.837,0.767,0.647,0.0397,139.826,197184,4
2020-06-05 17:03,Tycho,A Walk,316920,6koWevx9MqN6efQ6qreIbm,0.659,0.716,9,-7.816,1,0.0317,0.329,0.909,0.127,0.382,139.952,316919,4
2020-06-05 17:09,Tycho,Daydream,334430,1zTmKEtaxIqi2ByGBLmI3s,0.644,0.824,8,-8.109,1,0.0364,0.0769,0.979,0.0699,0.311,140.02,334459,4
2020-06-05 17:14,Tycho,Coastal Brake,333938,0dE9ro91KUtV5Xi7bDPy6b,0.598,0.813,9,-9.583,1,0.0428,0.175,0.979,0.108,0.381,120.008,334129,4
2020-06-05 17:19,Tycho,Ascension,264196,1UYXdZZMnCrlUqDRuIs9OE,0.384,0.536,3,-10.982,0,0.0446,0.444,0.86,0.0964,0.139,85.002,264299,4
2020-06-05 17:21,Tycho,Melanine,173192,18rXOovmohAMcFwUPAUAN2,0.444,0.47,8,-8.876,0,0.0314,0.857,0.929,0.0901,0.086,146.318,173338,4
2020-06-05 17:27,Tycho,Adrift,362194,3DERgYjztCL6oME2fvRl6z,0.571,0.616,1,-10.159,1,0.0327,0.082,0.947,0.71,0.288,150.003,362389,4
2020-06-05 17:30,Tycho,Epigram,148936,0TRbihonM8LyyQ7OClspEy,0.667,0.715,2,-9.733,1,0.0269,0.266,0.819,0.113,0.166,98.6,148957,4
2020-06-05 17:34,Tycho,Elegy,263436,5MbUyUE6erY9mVgXaecQwR,0.535,0.417,3,-12.651,1,0.0369,0.946,0.931,0.0721,0.171,120.099,263561,4
2020-06-05 17:39,Tycho,Glider,293177,4cx6srR6OQzmd6mzpeaQsY,0.574,0.894,7,-8.436,1,0.04,0.02,0.903,0.0706,0.201,126.0,293357,4
2020-06-05 17:43,Tycho,Horizon,249931,5WwaKGBmg0TpG8mRQpksl2,0.721,0.792,8,-8.804,1,0.044,0.0717,0.898,0.106,0.408,122.037,249926,4
2020-06-05 17:48,Tycho,Slack,251681,1wJCpDiJeQccXuNguS8umH,0.611,0.841,2,-7.641,1,0.0367,0.00489,0.817,0.107,0.286,134.034,251712,1
2020-06-05 17:52,Tycho,Receiver,255196,78qM62MHvNxFJLpShqmq28,0.639,0.274,2,-16.048,0,0.0424,0.686,0.897,0.0897,0.0397,125.003,255209,4
2020-06-05 17:58,Tycho,Epoch,345429,5EeNRe6Fi29tTrssVzl4dw,0.559,0.743,1,-9.447,1,0.0532,0.0711,0.9,0.152,0.264,119.981,345387,4
2020-06-05 18:02,Tycho,Division,238690,3Lr9aRWF57Dd8NsjeWTKNp,0.485,0.902,0,-7.878,1,0.0317,0.00428,0.856,0.281,0.426,172.572,238745,1
2020-06-05 18:06,Tycho,Source,258438,1Z5GCYgzsBxb9VUUVQRG2E,0.689,0.642,4,-11.697,0,0.045,0.292,0.87,0.173,0.173,136.977,258510,4
2020-06-05 18:09,Tycho,Local,173686,74fNA9uOtYFbkpG7gE8AKV,0.382,0.847,11,-9.709,1,0.0605,9.66e-05,0.78,0.647,0.372,174.012,173846,4
2020-06-05 18:13,Tycho,Rings,248690,5DQEWQoJ3deYCPkRIFm3Ci,0.474,0.908,5,-9.364,0,0.0582,0.00543,0.77,0.111,0.112,139.983,248643,1
