endTime,artistName,trackName,msPlayed,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2020-05-29 04:33,twst,Girl On Your TV,19157,1xfLsTATRIRo1kfeyIzyk1,0.553,0.628,5,-5.075,0,0.0463,0.0497,0,0.115,0.33,96.893,261020,4
2020-05-30 00:25,Axwell,Feel The Vibe,11749,2EjN9jtgovwI8XSYnhoVmf,0.634,0.846,11,-7.848,0,0.0456,0.00509,0.695,0.229,0.818,128.009,426947,4
2020-05-30 00:25,Axwell,Feel The Vibe,1323,2EjN9jtgovwI8XSYnhoVmf,0.634,0.846,11,-7.848,0,0.0456,0.00509,0.695,0.229,0.818,128.009,426947,4
2020-05-30 00:32,Axwell,Feel The Vibe,426946,2EjN9jtgovwI8XSYnhoVmf,0.634,0.846,11,-7.848,0,0.0456,0.00509,0.695,0.229,0.818,128.009,426947,4
2020-05-30 00:33,twst,Girl On Your TV (feat. Clams Casino),75079,16M4uDA2E7nmo52w4dap0O,0.246,0.511,8,-11.559,1,0.0394,0.296,0.668,0.12,0.179,144.022,213634,4
2020-05-30 00:36,twst,Girl On Your TV (feat. Clams Casino),138569,16M4uDA2E7nmo52w4dap0O,0.246,0.511,8,-11.559,1,0.0394,0.296,0.668,0.12,0.179,144.022,213634,4
2020-05-30 00:40,Tony Romera,France 2,228990,41ZS9ACgtS1kMINo1p5uPf,0.7,0.95,5,-5.219,1,0.112,0.0358,0.677,0.328,0.0854,108.996,228991,4
2020-05-30 00:43,Tony Romera,ARTE,197928,3hg0cBuDFwyy0eseTGENzt,0.866,0.542,5,-2.933,1,0.489,0.527,0.000917,0.88,0.674,120.33,197928,4
2020-05-30 00:46,Tony Romera,France 3,181357,6naXlRSIhW75XSH6Z5HDdk,0.796,0.734,10,-2.433,1,0.0715,0.00413,0.365,0.398,0.408,119.985,181358,4
2020-05-30 00:55,Haywyre,Memory,323266,5VisHRNh75WZmZOBxNC7sX,0.907,0.695,1,-4.906,1,0.261,0.06,0.304,0.124,0.861,120.047,218000,4
2020-05-30 01:02,Grimes,We Appreciate Power - BloodPop® Remix,370847,0sJtMQX2SA3JpJrTJo55yf,0.335,0.723,7,-6.317,0,0.0307,0.00756,0.175,0.114,0.0403,122.979,370848,4
2020-05-30 01:06,The Loops Of Fury,Bodywork - Club Edit,234568,5hYNf9V7PNFnUgxVRELG7i,0.73,0.926,7,-3.757,1,0.351,0.00442,0.646,0.239,0.358,125.961,234568,4
2020-05-30 01:12,What So Not,Lone - Slow Hours Remix,272999,3c5Og78p3plOCBbNLg5K9L,0.36,0.679,5,-7.178,0,0.0488,0.000963,0.000296,0.0717,0.138,77.076,272999,4
2020-05-30 01:16,L'Impératrice,Vanille fraise,238183,7nZ9CzhiFRPhOQCn7eDSnn,0.767,0.547,7,-11.458,0,0.0474,0.0399,0.485,0.0949,0.66,103.03,238183,4
2020-05-30 01:19,El Profesor,Bella Ciao - HUGEL Remix,164954,41hAKBCtTuRH2aItnktHJI,0.842,0.488,11,-7.856,0,0.0844,0.218,0.00718,0.0877,0.647,126.02,164955,4
2020-05-30 01:25,The Shapeshifters,Lola's Theme Recut - Dr Packer Remix,393015,3PgPjbTS5XHweYHCMkpNG3,0.789,0.765,7,-5.574,1,0.0392,0.00076,0.822,0.195,0.853,123.998,393015,4
2020-05-30 01:31,Norman Doray,Tell The World - Extended Mix,338912,6ENbzlukhf53H0TEblu7U3,0.879,0.583,3,-5.524,1,0.107,8.93e-05,0.72,0.0686,0.384,122.006,338913,4
2020-05-30 01:34,Illyus & Barrientos,Scream,192140,2uVaFyBtTBsGDk6VhvKrGl,0.846,0.727,0,-7.101,1,0.0542,0.00102,0.548,0.0298,0.747,124.999,314996,4
2020-05-30 01:38,Dario Nunez,Think - Original Mix,233048,0UnpvNRb4B1zyZ2YJ7EJJu,0.85,0.784,10,-2.945,1,0.238,0.00305,0.659,0.419,0.677,123.008,280976,4
2020-05-30 15:42,Axwell,Feel The Vibe,33228,2EjN9jtgovwI8XSYnhoVmf,0.634,0.846,11,-7.848,0,0.0456,0.00509,0.695,0.229,0.818,128.009,426947,4
2020-05-30 15:45,Axwell,Feel The Vibe,83638,2EjN9jtgovwI8XSYnhoVmf,0.634,0.846,11,-7.848,0,0.0456,0.00509,0.695,0.229,0.818,128.009,426947,4
2020-05-30 15:45,L'Impératrice,Vanille fraise,4272,7nZ9CzhiFRPhOQCn7eDSnn,0.767,0.547,7,-11.458,0,0.0474,0.0399,0.485,0.0949,0.66,103.03,238183,4
2020-05-30 15:46,The Beatles,You've Got To Hide Your Love Away - Remastered 2009,22593,4F1AgKpuFRMLEgtPETVwZk,0.398,0.392,7,-9.05,1,0.0282,0.207,0,0.102,0.378,184.267,129120,3
2020-05-30 15:50,Jordan Rakei,Midnight Mischief - Tom Misch Remix,266086,3O5JIwSON3KBaoyMUsjLjn,0.546,0.404,7,-7.441,1,0.0353,0.492,0.0269,0.115,0.0395,92.07,266087,4
2020-05-30 15:54,Nsolo,Devilman,301,3Iki375v4qkJnqBZEDAowF,0.653,0.638,6,-5.723,0,0.138,0.0605,0.0798,0.145,0.519,169.826,130588,4
2020-05-30 15:54,Nsolo,Devilman,10727,3Iki375v4qkJnqBZEDAowF,0.653,0.638,6,-5.723,0,0.138,0.0605,0.0798,0.145,0.519,169.826,130588,4
2020-05-30 15:54,Rhye,Feel Your Weight - Poolside Remix,64576,1hgX0ZmmP7IRRjUFCIBrnQ,0.741,0.592,6,-9.059,0,0.0308,0.665,0.854,0.116,0.822,111.984,310133,4
2020-05-30 15:59,Tom Misch,Beautiful Escape,276785,5MChi9fdCbTIWDJPPUuuW6,0.944,0.514,5,-7.895,1,0.195,0.0684,0.00209,0.103,0.331,120.004,276785,4
2020-05-30 16:12,Tom Misch,It Runs Through Me,24682,02CygBCQOIyEuhNZqHHcNx,0.802,0.607,11,-11.028,0,0.289,0.205,0.000748,0.246,0.274,96.916,261881,4
2020-05-30 16:12,Tom Misch,Nightrider,249529,5TgZ7lOUugOdabBcD9a6ud,0.729,0.571,11,-9.188,0,0.0869,0.0774,0.213,0.0994,0.582,81.486,300991,4
2020-05-30 16:16,Tom Misch,It Runs Through Me,236288,02CygBCQOIyEuhNZqHHcNx,0.802,0.607,11,-11.028,0,0.289,0.205,0.000748,0.246,0.274,96.916,261881,4
2020-05-30 16:59,Tom Misch,Beautiful Escape,5511,5MChi9fdCbTIWDJPPUuuW6,0.944,0.514,5,-7.895,1,0.195,0.0684,0.00209,0.103,0.331,120.004,276785,4
