endTime,artistName,trackName,msPlayed,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2020-05-30 20:00,Amtrac,Just,3738,2u9o4jlbtzqdy2bsBX9FYK,0.622,0.855,0,-7.563,1,0.0345,0.0498,0.824,0.0914,0.0394,120.001,372000,4
2020-05-30 20:00,Amtrac,Just,1300,2u9o4jlbtzqdy2bsBX9FYK,0.622,0.855,0,-7.563,1,0.0345,0.0498,0.824,0.0914,0.0394,120.001,372000,4
2020-05-30 20:04,Justice,New Lands,2275,6xi63rgWgcKkod0nXVnMMT,0.451,0.816,4,-5.216,1,0.0759,0.0968,0.0131,0.113,0.303,126.941,254493,4
2020-05-30 20:04,The Strokes,The Adults Are Talking,266495,5ruzrDWcT0vuJIOMW7gMnW,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,309053,4
2020-05-30 20:05,Lifelike,Italo Disco,1741,15w0WsHpWn51D4lUydjxnQ,0.694,0.754,0,-6.948,0,0.0573,0.00187,0.934,0.109,0.662,119.996,205079,4
2020-05-30 20:05,You Man,Everybody,3250,7qzzFtgZIhp66q3ZhMX7LC,0.772,0.93,11,-4.254,1,0.0443,0.00339,0.772,0.142,0.153,116.003,277241,4
2020-05-30 21:41,Vampire Weekend,Horchata,17856,76BIj06DoRIuJLtchonDcd,0.834,0.787,0,-7.119,1,0.139,0.0801,0,0.356,0.836,119.976,206733,4
2020-05-30 21:48,Air,La femme d'argent,426614,6tEaLXZlN8b71vWV1SSsRf,0.517,0.737,6,-8.189,0,0.0352,0.434,0.684,0.392,0.558,79.82,426614,4
2020-05-30 21:48,Yelle,Que Veux-Tu - Madeon Remix,5101,3F41lJSgsPQyUU5NDnGZJk,0.612,0.799,11,-3.261,0,0.0345,0.00232,8.35e-05,0.205,0.266,124.99,238085,4
2020-05-30 21:51,Pomo,On My Mind,147976,7H7Usg7m2APDrNrzOZXcPH,0.776,0.429,2,-5.385,0,0.0819,0.699,0.603,0.101,0.669,108.013,147976,4
2020-05-30 22:20,Daryl Hall,I Can't Go For That (No Can Do) - Pomo Remix,307793,0uBZvS31BoiROea01VyUG7,0.742,0.72,5,-8.604,0,0.0837,0.0791,0.0164,0.13,0.456,111.061,307794,4
2020-05-30 22:25,Lone,Jaded,289082,0Ip2pWYQmo8NUxKql20QPk,0.642,0.286,1,-19.865,1,0.0389,0.738,0.737,0.105,0.0869,94.998,289083,4
2020-05-30 22:31,Dam Swindle,"Yes, No, Maybe",321579,2jx9VNmPInE1d2m2T9eotT,0.816,0.808,5,-8.778,0,0.0848,0.0286,0.58,0.123,0.532,110.007,332425,4
