endTime,artistName,trackName,msPlayed,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2020-06-06 00:03,Gil Scott-Heron,Certain Things (Interlude),9680,1E8zxhrwQEQd5FhNEuu7BK,0,0.407,5,-9.052,0,0,0.311,0,0.395,0,0,8480,0
2020-06-06 00:03,Gil Scott-Heron,My Cloud,267373,5o4jvwNQLPmMaNBFgjvO92,0.553,0.415,4,-10.737,0,0.509,0.856,8.65e-06,0.14,0.237,79.36,267373,4
2020-06-06 00:06,Gil Scott-Heron,The Crutch,189840,4QbhH2V25NMJgqCcBm0PHj,0.716,0.809,1,-8.56,0,0.0633,0.00508,0.662,0.356,0.151,98.592,189840,4
2020-06-06 00:10,Gil Scott-Heron,Ur Soul and Mine,236184,1tNVVOlZK67YAI3zxrUqlM,0.848,0.473,0,-12.011,1,0.133,0.0284,0.653,0.218,0.269,132.037,257840,4
2020-06-06 00:12,Yusuf Islam,The Wind,75144,1rHMg7t3LICgfTl2OsDn46,0.758,0.187,2,-18.963,1,0.0437,0.927,0.1,0.122,0.78,115.75,102200,4
2020-06-06 00:17,Yusuf Islam,Peace Train,310013,1ppuHX1oVMku5LTL0swNZP,0.61,0.582,0,-10.422,1,0.044,0.119,3.76e-05,0.12,0.781,82.492,251333,4
2020-06-06 00:18,Kendrick Lamar,Black Panther,349,5qN4HFkapdAOV94XPryVof,0.618,0.582,1,-9.454,1,0.297,0.625,3.84e-06,0.265,0.48,90.035,130613,4
2020-06-06 00:18,Yusuf Islam,A Is For Allah,58068,57up23oc0Hdbc8qS5iNQ0U,0.659,0.261,3,-6.603,0,0.107,0.879,0,0.109,0.315,77.148,284013,4
2020-06-06 00:29,Kendrick Lamar,Black Panther,68501,5qN4HFkapdAOV94XPryVof,0.618,0.582,1,-9.454,1,0.297,0.625,3.84e-06,0.265,0.48,90.035,130613,4
2020-06-06 00:33,Kendrick Lamar,All The Stars (with SZA),224667,3GCdLUSnKSMJhs4Tj6CV3s,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,4
2020-06-06 00:35,The Last Poets,Sport,155827,0qMipvRrUpGHtuKEGrdo9j,0.765,0.684,9,-11.152,1,0.185,0.243,5e-06,0.0856,0.754,119.528,155827,4
2020-06-06 00:41,Sly & The Family Stone,"Don't Call Me Nigger, Whitey",335043,7EpNtcFGd3yJl0sjgJgqEe,0.549,0.626,8,-8.239,1,0.0437,0.496,0.000324,0.552,0.725,100.643,357733,4
2020-06-06 00:42,Meek Mill,Otherside Of America,84901,3JBvJ9PwrYA1oeUzI3FMRI,0.73,0.772,5,-3.883,0,0.316,0.0878,0,0.401,0.403,147.053,218103,4
2020-06-06 00:46,The Blind Boys Of Alabama,Stay on the Gospel Side,214573,1ddJbYZ3RZF9kHamfWHMw7,0.761,0.473,0,-8.437,1,0.0419,0.617,6.73e-05,0.108,0.675,109.987,214573,4
2020-06-06 00:52,John Legend,Hard Times (feat. Black Thought),316187,6Ty9r1U9uSSGg4MQ2SVeRq,0.594,0.901,11,-5.379,0,0.136,0.0472,0,0.802,0.421,100.386,316187,4
2020-06-06 00:59,John Legend,Hang on in There,435373,5jklyYwzYIY20CiWG5uccu,0.366,0.686,9,-7.004,1,0.048,0.318,8.79e-06,0.239,0.611,84.01,435373,4
2020-06-06 01:11,John Legend,I Can't Write Left Handed,703173,7vNqOnzzvwWoBXnKhrTZCM,0.446,0.559,8,-6.832,1,0.0503,0.248,0.000227,0.069,0.482,72.076,703173,4
2020-06-06 01:14,John Legend,I Wish I Knew How It Would Feel to Be Free,162867,7CgMPXH1C0YesTnFl3zUlx,0.588,0.661,5,-5.672,1,0.0324,0.476,0.00336,0.647,0.656,129.527,162867,4
2020-06-06 01:18,John Legend,Wake up Everybody (feat. Common & Melanie Fiona),264867,7lVxWMH0C3Bj8b8JLkh9EN,0.638,0.467,3,-7.787,0,0.0522,0.536,0,0.298,0.657,94.089,264867,4
2020-06-06 01:20,John Legend,Little Ghetto Boy (feat. Black Thought),112068,3ugvKbyrqGfq4eLRI2VXSN,0.608,0.663,10,-5.284,0,0.0335,0.205,6.01e-05,0.209,0.727,87.193,326200,4
2020-06-06 13:10,Aretha Franklin,Only the Lonely - 2002 Mix,4053,2LJkuaCHy9xYqOFeIEWNRM,0.206,0.117,7,-13.663,1,0.033,0.9,5.99e-05,0.13,0.1,73.485,293240,3
2020-06-06 13:15,Aretha Franklin,Only the Lonely - 2002 Mix,288529,2LJkuaCHy9xYqOFeIEWNRM,0.206,0.117,7,-13.663,1,0.033,0.9,5.99e-05,0.13,0.1,73.485,293240,3
2020-06-06 13:18,Aretha Franklin,I Wish I Didn't Love You So - 2002 Mix,173880,6Sw7eTjjdH7TxGHPXVEbm2,0.285,0.0791,7,-14.491,1,0.0318,0.721,0.000233,0.141,0.271,83.616,173907,3
2020-06-06 13:23,Aretha Franklin,When the World Was Young,282507,7hDIuKX6K8eYvhSWO2sahC,0.348,0.0372,11,-16.255,0,0.033,0.969,0.000113,0.156,0.135,99.827,282507,4
